DATE,PI
1959-01-01,391.8
1959-02-01,393.7
1959-03-01,396.5
1959-04-01,399.9
1959-05-01,402.4
1959-06-01,404.8
1959-07-01,405.4
1959-08-01,403.7
1959-09-01,405.1
1959-10-01,406.6
1959-11-01,409.9
1959-12-01,414.6
1960-01-01,415.7
1960-02-01,416.6
1960-03-01,417.6
1960-04-01,420.6
1960-05-01,422.1
1960-06-01,422.6
1960-07-01,424.1
1960-08-01,424.1
1960-09-01,424.9
1960-10-01,426.7
1960-11-01,426.3
1960-12-01,424.4
1961-01-01,428.3
1961-02-01,430.3
1961-03-01,431.9
1961-04-01,432.5
1961-05-01,436.1
1961-06-01,440.5
1961-07-01,442.7
1961-08-01,443.3
1961-09-01,444.3
1961-10-01,448.7
1961-11-01,452.7
1961-12-01,455.6
1962-01-01,456.0
1962-02-01,459.1
1962-03-01,462.9
1962-04-01,465.8
1962-05-01,466.8
1962-06-01,467.7
1962-07-01,469.7
1962-08-01,471.1
1962-09-01,473.7
1962-10-01,475.7
1962-11-01,477.8
1962-12-01,479.8
1963-01-01,484.0
1963-02-01,481.9
1963-03-01,483.7
1963-04-01,485.0
1963-05-01,487.9
1963-06-01,491.3
1963-07-01,492.5
1963-08-01,494.9
1963-09-01,498.2
1963-10-01,501.9
1963-11-01,503.6
1963-12-01,508.4
1964-01-01,511.3
1964-02-01,514.1
1964-03-01,517.0
1964-04-01,520.6
1964-05-01,523.8
1964-06-01,526.3
1964-07-01,529.9
1964-08-01,533.3
1964-09-01,536.3
1964-10-01,536.9
1964-11-01,541.3
1964-12-01,547.5
1965-01-01,551.5
1965-02-01,552.0
1965-03-01,555.4
1965-04-01,558.6
1965-05-01,562.9
1965-06-01,566.2
1965-07-01,570.4
1965-08-01,572.9
1965-09-01,587.2
1965-10-01,584.9
1965-11-01,590.2
1965-12-01,595.5
1966-01-01,597.7
1966-02-01,603.1
1966-03-01,607.9
1966-04-01,609.5
1966-05-01,612.2
1966-06-01,616.7
1966-07-01,620.4
1966-08-01,625.9
1966-09-01,631.7
1966-10-01,636.0
1966-11-01,640.9
1966-12-01,642.0
1967-01-01,648.0
1967-02-01,649.6
1967-03-01,653.9
1967-04-01,654.4
1967-05-01,656.9
1967-06-01,661.6
1967-07-01,667.2
1967-08-01,672.5
1967-09-01,675.0
1967-10-01,677.8
1967-11-01,684.4
1967-12-01,687.4
1968-01-01,694.3
1968-02-01,702.5
1968-03-01,710.8
1968-04-01,716.2
1968-05-01,722.6
1968-06-01,728.3
1968-07-01,735.0
1968-08-01,741.4
1968-09-01,747.4
1968-10-01,752.0
1968-11-01,758.0
1968-12-01,762.6
1969-01-01,766.3
1969-02-01,771.8
1969-03-01,779.0
1969-04-01,784.3
1969-05-01,790.5
1969-06-01,797.1
1969-07-01,805.0
1969-08-01,812.2
1969-09-01,817.7
1969-10-01,822.0
1969-11-01,826.4
1969-12-01,831.9
1970-01-01,836.4
1970-02-01,841.8
1970-03-01,847.1
1970-04-01,859.9
1970-05-01,857.7
1970-06-01,862.6
1970-07-01,870.6
1970-08-01,875.1
1970-09-01,878.4
1970-10-01,879.7
1970-11-01,882.3
1970-12-01,889.2
1971-01-01,898.8
1971-02-01,903.2
1971-03-01,909.0
1971-04-01,915.0
1971-05-01,922.4
1971-06-01,943.8
1971-07-01,934.8
1971-08-01,940.8
1971-09-01,947.7
1971-10-01,951.8
1971-11-01,958.6
1971-12-01,967.4
1972-01-01,976.1
1972-02-01,987.9
1972-03-01,995.6
1972-04-01,998.5
1972-05-01,1004.9
1972-06-01,1009.2
1972-07-01,1019.0
1972-08-01,1031.4
1972-09-01,1040.0
1972-10-01,1065.1
1972-11-01,1079.2
1972-12-01,1086.6
1973-01-01,1085.6
1973-02-01,1095.3
1973-03-01,1104.4
1973-04-01,1114.7
1973-05-01,1125.1
1973-06-01,1134.7
1973-07-01,1142.2
1973-08-01,1152.0
1973-09-01,1163.4
1973-10-01,1180.2
1973-11-01,1192.6
1973-12-01,1199.2
1974-01-01,1200.4
1974-02-01,1207.1
1974-03-01,1213.1
1974-04-01,1220.9
1974-05-01,1234.1
1974-06-01,1243.7
1974-07-01,1257.8
1974-08-01,1268.8
1974-09-01,1280.7
1974-10-01,1294.0
1974-11-01,1296.0
1974-12-01,1305.4
1975-01-01,1312.3
1975-02-01,1318.8
1975-03-01,1324.2
1975-04-01,1330.3
1975-05-01,1343.8
1975-06-01,1375.8
1975-07-01,1372.3
1975-08-01,1388.5
1975-09-01,1398.7
1975-10-01,1413.4
1975-11-01,1422.4
1975-12-01,1432.3
1976-01-01,1447.2
1976-02-01,1457.5
1976-03-01,1463.6
1976-04-01,1472.5
1976-05-01,1481.2
1976-06-01,1489.9
1976-07-01,1506.7
1976-08-01,1519.3
1976-09-01,1529.2
1976-10-01,1536.7
1976-11-01,1557.2
1976-12-01,1570.7
1977-01-01,1572.2
1977-02-01,1589.6
1977-03-01,1604.7
1977-04-01,1620.9
1977-05-01,1633.2
1977-06-01,1644.9
1977-07-01,1662.6
1977-08-01,1676.9
1977-09-01,1693.7
1977-10-01,1716.3
1977-11-01,1739.8
1977-12-01,1756.0
1978-01-01,1760.1
1978-02-01,1776.2
1978-03-01,1797.9
1978-04-01,1821.9
1978-05-01,1837.0
1978-06-01,1855.8
1978-07-01,1876.2
1978-08-01,1894.2
1978-09-01,1907.5
1978-10-01,1929.7
1978-11-01,1944.0
1978-12-01,1964.2
1979-01-01,1985.7
1979-02-01,2004.3
1979-03-01,2026.1
1979-04-01,2030.9
1979-05-01,2044.8
1979-06-01,2060.5
1979-07-01,2091.9
1979-08-01,2111.1
1979-09-01,2129.5
1979-10-01,2146.8
1979-11-01,2168.4
1979-12-01,2191.9
1980-01-01,2217.7
1980-02-01,2231.4
1980-03-01,2246.7
1980-04-01,2255.8
1980-05-01,2266.3
1980-06-01,2286.3
1980-07-01,2321.4
1980-08-01,2345.9
1980-09-01,2378.1
1980-10-01,2418.1
1980-11-01,2444.0
1980-12-01,2472.0
1981-01-01,2488.0
1981-02-01,2506.5
1981-03-01,2532.2
1981-04-01,2538.8
1981-05-01,2558.1
1981-06-01,2582.5
1981-07-01,2637.2
1981-08-01,2663.9
1981-09-01,2676.3
1981-10-01,2678.6
1981-11-01,2696.3
1981-12-01,2703.1
1982-01-01,2713.1
1982-02-01,2732.7
1982-03-01,2737.8
1982-04-01,2758.1
1982-05-01,2774.1
1982-06-01,2784.7
1982-07-01,2801.1
1982-08-01,2815.0
1982-09-01,2821.3
1982-10-01,2834.9
1982-11-01,2854.0
1982-12-01,2872.6
1983-01-01,2882.2
1983-02-01,2888.8
1983-03-01,2906.2
1983-04-01,2921.6
1983-05-01,2944.8
1983-06-01,2959.8
1983-07-01,2985.0
1983-08-01,2993.7
1983-09-01,3024.9
1983-10-01,3059.3
1983-11-01,3088.5
1983-12-01,3117.9
1984-01-01,3142.7
1984-02-01,3182.1
1984-03-01,3212.1
1984-04-01,3245.1
1984-05-01,3256.6
1984-06-01,3286.9
